Mean IoU,Dice Score,Source_Directory,accuracy,Clients,Epochs per round,Rounds,Total_Epochs
0.5730377435684204,0.5583295822143555,FaultTolerantFedAvg,0.9845437407493592,10,2,4,8
0.616121768951416,0.5729265213012695,FedAvg,0.9871693253517152,10,2,4,8
0.5672037601470947,0.5676131844520569,FedAvg_wa,0.9852762818336488,10,2,4,8
0.562615692615509,0.615886926651001,FedMedian,0.9833964109420776,10,2,4,8
0.5900035500526428,0.6375576853752136,FedOpt,0.9855912923812868,10,2,4,8
0.5947834253311157,0.5956518650054932,FedProx,0.9867952466011048,10,2,4,8
0.5924808979034424,0.6503870487213135,SingleBatched,0.9817258715629578,10,2,4,8
0.6436683535575867,0.6449474096298218,SingleModel,0.9883259534835817,10,2,4,8
0.5725734829902649,0.639469563961029,FaultTolerantFedAvg,0.9813643097877502,10,3,10,30
0.6474849581718445,0.6312119960784912,FedAvg,0.9891016483306884,10,3,10,30
0.6549745202064514,0.6298923492431641,FedAvg_wa,0.9889908432960512,10,3,10,30
0.6489740610122681,0.6667076349258423,FedMedian,0.986025869846344,10,3,10,30
0.6295486688613892,0.6772849559783936,FedOpt,0.9866121411323548,10,3,10,30
0.6624517440795898,0.6227487921714783,FedProx,0.9890113472938538,10,3,10,30
0.6358413100242615,0.6284149289131165,SingleBatched,0.9882413744926452,10,3,10,30
0.747346818447113,0.7223345637321472,SingleModel,0.9921833276748658,10,3,10,30
0.6560616493225098,0.6683209538459778,FaultTolerantFedAvg,0.9878587126731871,12,5,8,40
0.6454137563705444,0.6360485553741455,FedAvg,0.9889106750488282,12,5,8,40
0.6524961590766907,0.646406352519989,FedAvg_wa,0.986454725265503,12,5,8,40
0.6070264577865601,0.6145390868186951,FedMedian,0.9853397607803344,12,5,8,40
0.5848972797393799,0.633726954460144,FedOpt,0.9831032156944276,12,5,8,40
0.6062096357345581,0.6599024534225464,FedProx,0.9834805727005004,12,5,8,40
0.5538895130157471,0.5658006072044373,SingleBatched,0.985551416873932,12,5,8,40
0.7743702530860901,0.7447757124900818,SingleModel,0.9936158657073976,12,5,8,40
0.7605007886886597,0.7427116632461548,SingleModel,0.9931946992874146,12,5,8,40
0.4882052540779114,0.5633479952812195,FaultTolerantFedAvg,0.9823464155197144,15,1,10,10
0.5891820788383484,0.5960760712623596,FedAvg,0.9836454391479492,15,1,10,10
0.5386865735054016,0.6122490167617798,FedAvg_wa,0.9770726561546326,15,1,10,10
0.6290147304534912,0.6304305791854858,FedMedian,0.9849026203155518,15,1,10,10
0.5252102613449097,0.6062994599342346,FedOpt,0.9787755608558656,15,1,10,10
0.5870693922042847,0.6011860966682434,FedProx,0.9854376912117006,15,1,10,10
0.4359316229820251,0.5303397178649902,SingleBatched,0.9706972241401672,15,1,10,10
0.7144802808761597,0.6681495904922485,SingleModel,0.9902310371398926,15,1,10,10
0.5738614797592163,0.5783707499504089,FaultTolerantFedAvg,0.9851542711257936,3,2,3,6
0.6132370233535767,0.5963171720504761,FedAvg,0.9870675206184388,3,2,3,6
0.6008376479148865,0.6533742547035217,FedAvgM,0.983587980270386,3,2,3,6
0.5736485123634338,0.5559947490692139,FedAvg_wa,0.9865502119064332,3,2,3,6
0.614678680896759,0.6488152742385864,FedMedian,0.9850946068763732,3,2,3,6
0.6288484334945679,0.6088113188743591,FedOpt,0.9860251545906068,3,2,3,6
0.5713860392570496,0.5845683813095093,FedProx,0.9853538274765016,3,2,3,6
0.5603775382041931,0.6137962341308594,SingleBatched,0.9856091737747192,3,2,3,6
0.6209283471107483,0.6429935693740845,SingleModel,0.9879093170166016,3,2,3,6
0.704935610294342,0.7212743759155273,FaultTolerantFedAvg,0.9911360740661622,4,3,15,45
0.7648277878761292,0.7493434548377991,FedAvg,0.9913108348846436,4,3,15,45
0.7517550587654114,0.7341835498809814,FedAvg_wa,0.9915125966072084,4,3,15,45
0.6720584630966187,0.7092223763465881,FedMedian,0.9882038235664368,4,3,15,45
0.7582400441169739,0.7189173698425293,FedOpt,0.9918988347053528,4,3,15,45
0.7580373883247375,0.7601573467254639,FedProx,0.9916013479232788,4,3,15,45
0.6144326329231262,0.6276856660842896,SingleBatched,0.9857677817344666,4,3,15,45
0.7742528915405273,0.7607215642929077,SingleModel,0.9927477836608888,4,3,15,45
0.7101960778236389,0.7264240980148315,FaultTolerantFedAvg,0.9906002879142762,5,10,5,50
0.6990446448326111,0.7039759755134583,FedAvg,0.9895118474960328,5,10,5,50
0.6273281574249268,0.6628530025482178,FedAvg_wa,0.9843214750289916,5,10,5,50
0.6874608993530273,0.6447990536689758,FedMedian,0.9907621145248414,5,10,5,50
0.7225549221038818,0.6691399812698364,FedOpt,0.9913772344589236,5,10,5,50
0.7539989352226257,0.7520237565040588,FedProx,0.9908819794654848,5,10,5,50
0.7348492741584778,0.7292174696922302,SingleBatched,0.9908398389816284,5,10,5,50
0.7348492741584778,0.7292174696922302,SingleModel,0.9908398389816284,5,10,5,50
0.5369435548782349,0.5546291470527649,FaultTolerantFedAvg,0.9858492016792298,6,1,8,8
0.5913667678833008,0.59747713804245,FedAvg,0.9852907657623292,6,1,8,8
0.6207922697067261,0.6345838308334351,FedAvg_wa,0.9847103357315063,6,1,8,8
0.5507077574729919,0.6339318752288818,FedMedian,0.9828253388404848,6,1,8,8
0.5779621005058289,0.6407836079597473,FedOpt,0.9817079901695251,6,1,8,8
0.6066039204597473,0.5864596962928772,FedProx,0.9862862229347228,6,1,8,8
0.5663794279098511,0.5927883982658386,SingleBatched,0.9853450655937196,6,1,8,8
0.6294369101524353,0.6369331479072571,FaultTolerantFedAvg,0.9869622588157654,7,2,9,18
0.5998800992965698,0.6439250707626343,FedAvg,0.9838253855705262,7,2,9,18
0.6202817559242249,0.6778988242149353,FedAvg_wa,0.9849776029586792,7,2,9,18
0.6430346965789795,0.6447821855545044,FedMedian,0.9864306449890136,7,2,9,18
0.6197994351387024,0.5905124545097351,FedOpt,0.9874109029769896,7,2,9,18
0.6298248171806335,0.6227949261665344,FedProx,0.9878827929496766,7,2,9,18
0.5908358097076416,0.623042106628418,SingleBatched,0.9821380972862244,7,2,9,18
0.7108877897262573,0.6633079648017883,SingleModel,0.99140465259552,7,2,9,18
