aggregation_round,epoch_num,client_id,epoch_loss,avg_loss
1,1,1,0.40254996178379976,0.2506199798333537
1,2,1,0.2539482039500432,0.2506199798333537
1,3,1,0.1922615549291473,0.2506199798333537
1,4,1,0.1537201986704246,0.2506199798333537
1,1,5,0.400598596198013,0.24564903839884034
1,2,5,0.2453314781368497,0.24564903839884034
1,3,5,0.1889264146427074,0.24564903839884034
1,4,5,0.14773966461779123,0.24564903839884034
1,1,2,0.3992741176162858,0.25074050057095937
1,2,2,0.2532876302678901,0.25074050057095937
1,3,2,0.19450895542121796,0.25074050057095937
1,4,2,0.15589129897844362,0.25074050057095937
1,1,4,0.41195388120341014,0.24994447486228252
1,2,4,0.24976155332413064,0.24994447486228252
1,3,4,0.1901091857846961,0.24994447486228252
1,4,4,0.14795327913689327,0.24994447486228252
1,1,3,0.4087760845221669,0.2485336569889662
1,2,3,0.24912425355020776,0.2485336569889662
1,3,3,0.18889533333390593,0.2485336569889662
1,4,3,0.14733895654958415,0.2485336569889662
2,1,2,0.1281977091208998,0.09367057452741337
2,2,2,0.09640209008771253,0.09367057452741337
2,3,2,0.08144516199378364,0.09367057452741337
2,4,2,0.06863733690725751,0.09367057452741337
2,1,1,0.1256764536072691,0.09286765568519392
2,2,1,0.09813642914754798,0.09286765568519392
2,3,1,0.07981083679001734,0.09286765568519392
2,4,1,0.0678469031959413,0.09286765568519392
2,1,3,0.12323110873799727,0.08640757561605199
2,2,3,0.08803895133805562,0.08640757561605199
2,3,3,0.07318656507834613,0.08640757561605199
2,4,3,0.06117367730980896,0.08640757561605199
2,1,4,0.11997936069067702,0.08532808701429202
2,2,4,0.09026798152600427,0.08532808701429202
2,3,4,0.07180644771510578,0.08532808701429202
2,4,4,0.05925855812538101,0.08532808701429202
2,1,5,0.12004970135279448,0.0844346894714308
2,2,5,0.08683799660528999,0.0844346894714308
2,3,5,0.07013356476932404,0.0844346894714308
2,4,5,0.060717495158314705,0.0844346894714308
3,1,3,0.05218278604323964,0.04218179500431765
3,2,3,0.04385041949866587,0.04218179500431765
3,3,3,0.0387492266887552,0.04218179500431765
3,4,3,0.033944747786609886,0.04218179500431765
3,1,5,0.05146665874509567,0.04231804143637419
3,2,5,0.04411587246458035,0.04231804143637419
3,3,5,0.038890299622912,0.04231804143637419
3,4,5,0.03479933491290872,0.04231804143637419
3,1,1,0.061015806564814354,0.05161008058138282
3,2,1,0.05368181479623519,0.05161008058138282
3,3,1,0.04761004907987922,0.05161008058138282
3,4,1,0.0441326518846025,0.05161008058138282
3,1,2,0.06299743831651397,0.05421330559583583
3,2,2,0.056870657681341634,0.05421330559583583
3,3,2,0.04973387413557215,0.05421330559583583
3,4,2,0.047251252249915554,0.05421330559583583
3,1,4,0.05230910034782915,0.04328699348107295
3,2,4,0.04752360102552247,0.04328699348107295
3,3,4,0.038681440375161816,0.04328699348107295
3,4,4,0.03463383217577834,0.04328699348107295
4,1,3,0.03429600605965558,0.03147624770995701
4,2,3,0.03166861627924155,0.03147624770995701
4,3,3,0.030115546222428333,0.03147624770995701
4,4,3,0.029824822278502566,0.03147624770995701
4,1,1,0.04071644307338599,0.04036709965565747
4,2,1,0.03819300738410149,0.04036709965565747
4,3,1,0.045801160632666336,0.04036709965565747
4,4,1,0.036757787532476056,0.04036709965565747
4,1,5,0.033887284030823646,0.031139643069676468
4,2,5,0.03250030153262687,0.031139643069676468
4,3,5,0.030127749050383915,0.031139643069676468
4,4,5,0.028043237664871455,0.031139643069676468
4,1,4,0.033767328331112324,0.03002552827469533
4,2,4,0.029899415669469052,0.03002552827469533
4,3,4,0.02975923923006932,0.03002552827469533
4,4,4,0.026676129868130637,0.03002552827469533
4,1,2,0.04328717603292092,0.041754160388457
4,2,2,0.04403226025099585,0.041754160388457
4,3,2,0.038014687530427096,0.041754160388457
4,4,2,0.04168251773948411,0.041754160388457
5,1,1,0.03763658955906439,0.03382459005284129
5,2,1,0.03514139114806137,0.03382459005284129
5,3,1,0.031000237371239543,0.03382459005284129
5,4,1,0.03152014213299985,0.03382459005284129
5,1,3,0.02950816872355764,0.028200326182007095
5,2,3,0.027829422142794245,0.028200326182007095
5,3,3,0.02707079541518813,0.028200326182007095
5,4,3,0.028392918446488363,0.028200326182007095
5,1,4,0.028455998345996332,0.02687989475615098
5,2,4,0.026239219695296002,0.02687989475615098
5,3,4,0.027307758705286556,0.02687989475615098
5,4,4,0.025516602278025036,0.02687989475615098
5,1,5,0.028416812843474817,0.02620706261494702
5,2,5,0.025840281086682106,0.02620706261494702
5,3,5,0.026519815789546864,0.02620706261494702
5,4,5,0.02405134074008429,0.02620706261494702
5,1,2,0.03915396373556276,0.03613106556747288
5,2,2,0.03363214609639562,0.03613106556747288
5,3,2,0.036805927569708644,0.03613106556747288
5,4,2,0.034932224868224504,0.03613106556747288
